,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
193,8:00p,Dallas Mavericks,112,New Orleans Pelicans,114,Box Score,,"18,364",
194,7:00p,Toronto Raptors,87,Orlando Magic,116,Box Score,,"18,846",
195,9:00p,Oklahoma City Thunder,118,Phoenix Suns,102,Box Score,,"18,055",
196,7:00p,Chicago Bulls,101,Washington Wizards,92,Box Score,,"20,409",
197,7:30p,Cleveland Cavaliers,108,Atlanta Hawks,111,Box Score,,"16,460",
198,10:30p,San Antonio Spurs,122,Los Angeles Clippers,111,Box Score,,"19,068",
199,8:00p,Boston Celtics,112,Memphis Grizzlies,103,Box Score,,"17,794",
200,5:00p,Brooklyn Nets,115,Milwaukee Bucks,129,Box Score,,"17,918",
201,7:00p,Houston Rockets,108,New Orleans Pelicans,104,Box Score,,"17,555",
202,9:00p,Denver Nuggets,122,Phoenix Suns,118,Box Score,,"14,975",
203,10:00p,Golden State Warriors,115,Portland Trail Blazers,105,Box Score,,"19,797",
204,8:00p,New York Knicks,97,Utah Jazz,129,Box Score,,"18,306",
205,7:00p,Charlotte Hornets,126,Washington Wizards,130,Box Score,,"17,197",
206,7:00p,Oklahoma City Thunder,103,Dallas Mavericks,105,Box Score,,"20,380",
207,9:30p,Sacramento Kings,114,Los Angeles Lakers,121,Box Score,,"18,997",
208,6:00p,Minnesota Timberwolves,113,Miami Heat,104,Box Score,,"19,600",
209,3:30p,Detroit Pistons,107,Orlando Magic,109,Box Score,,"17,761",
210,9:00p,Philadelphia 76ers,95,Portland Trail Blazers,129,Box Score,,"19,393",
211,6:00p,Chicago Bulls,89,Toronto Raptors,95,Box Score,,"19,800",
212,6:00p,Orlando Magic,100,Charlotte Hornets,125,Box Score,,"14,694",
213,7:00p,Memphis Grizzlies,101,Houston Rockets,113,Box Score,,"18,055",
214,3:00p,Atlanta Hawks,108,Indiana Pacers,116,Box Score,,"17,923",
215,8:00p,Minnesota Timberwolves,114,New Orleans Pelicans,123,Box Score,,"14,904",
216,8:00p,Dallas Mavericks,102,Oklahoma City Thunder,122,Box Score,,"18,203",
217,9:00p,Golden State Warriors,132,Phoenix Suns,109,Box Score,,"16,906",
218,7:00p,Boston Celtics,111,San Antonio Spurs,120,Box Score,,"18,354",
